FP1,-27,83,-3
AF7,-51,71,-3
AF3,-36,76,24
F1,-25,62,56
F3,-48,59,44
F5,-64,55,23
F7,-71,51,-3
FT7,-83,27,-3
FC5,-78,30,27
FC3,-59,31,56
FC1,-33,33,74
C1,-34,0,81
C3,-63,0,61
C5,-82,0,31
T7,-87,0,-3
TP7,-83,-27,-3
CP5,-78,-30,27
CP3,-59,-31,56
CP1,-33,-33,74
P1,-25,-62,56
P3,-48,-59,44
P5,-64,-55,23
P7,-71,-51,-3
P9,-64,-47,-37
PO7,-51,-71,-3
PO3,-36,-76,24
O1,-27,-83,-3
IZ,0,-79,-37
OZ,0,-87,-3
POZ,0,-82,31
PZ,0,-63,61
CPZ,0,-34,81
FPZ,0,87,-3
FP2,27,83,-3
AF8,51,71,-3
AF4,36,76,24
AFZ,0,82,31
FZ,0,63,61
F2,25,62,56
F4,48,59,44
F6,64,55,23
F8,71,51,-3
FT8,83,27,-3
FC6,78,30,27
FC4,59,31,56
FC2,33,33,74
FCZ,0,34,81
CZ,0,0,88
C2,34,0,81
C4,63,0,61
C6,82,0,31
T8,87,0,-3
TP8,83,-27,-3
CP6,78,-30,27
CP4,59,-31,56
CP2,33,-33,74
P2,25,-62,56
P4,48,-59,44
P6,64,-55,23
P8,71,-51,-3
P10,64,-47,-37
PO8,51,-71,-3
PO4,36,-76,24
O2,27,-83,-3
